vehicle_id|inspection_date|vehicle_org_id|org_name|inspection_period_id|inspection_passed
76975|2020-06-11|5102|Valco Auto|102|TRUE
84412|2020-07-02|2265|"Cars ""R"" Us"|103|FALSE
94615|2020-07-05|5102|Valco Auto|103|TRUE
88591|2020-07-07|1920|Economotor|103|TRUE
87685|2020-07-11|5102|Valco Auto|103|TRUE
93126|2020-07-17|1920|Economotor|103|TRUE
92022|2020-07-17|10229|SpeedieCar|103|FALSE
99209|2020-07-21|1920|Economotor|103|TRUE
98755|2020-07-23|5102|Valco Auto|103|TRUE
4919|2020-07-23|2265|"Cars ""R"" Us"|103|TRUE
2811|2020-07-26|1920|Economotor|103|TRUE
4021|2020-07-27|1920|Economotor|103|TRUE
1508|2020-07-30|7732|Mina Fleet Trucks|103|
5544|2020-08-01|7732|Mina Fleet Trucks|103|TRUE
7992|2020-08-01|2265|Cars-R-Us|103|TRUE
12295|2020-08-04|5102|Valco Auto|103|
92022|2020-08-05|10229|SpeedieCar|103|FALSE
10354|2020-08-06|5102|Valco Auto|103|TRUE
27341|2020-08-06|11789|Jackson Wheels|103|TRUE
99250|2020-08-07|11789|Jackson Wheels|103|
92880|2020-08-07|11789|Jackson Wheels|103|FALSE
88444|2020-08-07|11789|Jackson Wheels|103|FALSE
13169|2020-08-08|8007|Apple Automotive|103|TRUE
100543|2020-08-08|7732|Mina Fleet Trucks|103|TRUE
